,Sentence,CompScore,PosScore,NegScore,NeuScore,PosFlag,NegFlag,NeuFlag
187,"A man in a long duster had dismounted from the wreck and now stood in the middle of the road, looking from the car to the tyre and from the tyre to the observers in a pleasant, puzzled way.",-0.0772,0.081,0.112,0.807,0,1,0
188,"It happened, and that’s all I know.” “Well, if you’re a poor driver you oughtn’t to try driving at night.” “But I wasn’t even trying,” he explained indignantly, “I wasn’t even trying.” An awed hush fell upon the bystanders.",-0.4767,0.0,0.081,0.919,0,1,0
189,"A bad driver and not even trying!” “You don’t understand,” explained the criminal.",-0.8016,0.0,0.418,0.582,0,1,0
190,There’s another man in the car.” The shock that followed this declaration found voice in a sustained “Ah-h-h!” as the door of the coupé swung slowly open.,-0.4389,0.0,0.104,0.896,0,1,0
191,"Then, very gradually, part by part, a pale, dangling individual stepped out of the wreck, pawing tentatively at the ground with a large uncertain dancing shoe.",-0.6249,0.0,0.188,0.812,0,1,0
192,"Blinded by the glare of the headlights and confused by the incessant groaning of the horns, the apparition stood swaying for a moment before he perceived the man in the duster.",-0.3182,0.0,0.073,0.927,0,1,0
193,"“Did we run outa gas?” “Look!” Half a dozen fingers pointed at the amputated wheel—he stared at it for a moment, and then looked upward as though he suspected that it had dropped from the sky.",-0.2942,0.0,0.062,0.938,0,1,0
194,“Put her in reverse.” “But the wheel’s off!” He hesitated.,-0.3802,0.0,0.224,0.776,0,1,0
195,"“No harm in trying,” he said.",-0.5423,0.0,0.412,0.588,0,1,0
196,The caterwauling horns had reached a crescendo and I turned away and cut across the lawn toward home.,-0.1779,0.08,0.12,0.8,0,1,0
197,I took dinner usually at the Yale Club—for some reason it was the gloomiest event of my day—and then I went upstairs to the library and studied investments and securities for a conscientious hour.,-0.1531,0.065,0.082,0.853,0,1,0
198,"At the enchanted metropolitan twilight I felt a haunting loneliness sometimes, and felt it in others—poor young clerks who loitered in front of windows waiting until it was time for a solitary restaurant dinner—young clerks in the dusk, wasting the most poignant moments of night and life.",-0.6124,0.052,0.151,0.797,0,1,0
199,"For a while I lost sight of Jordan Baker, and then in midsummer I found her again.",-0.3182,0.0,0.15,0.85,0,1,0
200,"The bored haughty face that she turned to the world concealed something—most affectations conceal something eventually, even though they don’t in the beginning—and one day I found what it was.",-0.2732,0.0,0.07,0.93,0,1,0
201,"When we were on a house-party together up in Warwick, she left a borrowed car out in the rain with the top down, and then lied about it—and suddenly I remembered the story about her that had eluded me that night at Daisy’s.",-0.2023,0.042,0.061,0.896,0,1,0
202,At her first big golf tournament there was a row that nearly reached the newspapers—a suggestion that she had moved her ball from a bad lie in the semifinal round.,-0.4767,0.045,0.113,0.841,0,1,0
203,The thing approached the proportions of a scandal—then died away.,-0.5574,0.0,0.31,0.69,0,1,0
204,"A caddy retracted his statement, and the only other witness admitted that he might have been mistaken.",-0.2732,0.078,0.14,0.782,0,1,0
205,She was incurably dishonest.,-0.5719,0.0,0.552,0.448,0,1,0
206,It made no difference to me.,-0.296,0.0,0.306,0.694,0,1,0
207,"“You’re a rotten driver,” I protested.",-0.5859,0.0,0.706,0.294,0,1,0
208,“I hate careless people.,-0.7351,0.0,0.756,0.244,0,1,0
209,Nevertheless there was a vague understanding that had to be tactfully broken off before I was free.,-0.0516,0.167,0.227,0.606,0,1,0
210,“One time he killed a man who had found out that he was nephew to Von Hindenburg and second cousin to the devil.,-0.872,0.0,0.308,0.692,0,1,0
211,"Reach me a rose, honey, and pour me a last drop into that there crystal glass.” Once I wrote down on the empty spaces of a timetable the names of those who came to Gatsby’s house that summer.",-0.4215,0.031,0.108,0.861,0,1,0
212,"From East Egg, then, came the Chester Beckers and the Leeches, and a man named Bunsen, whom I knew at Yale, and Doctor Webster Civet, who was drowned last summer up in Maine.",-0.5994,0.0,0.115,0.885,0,1,0
213,"He came only once, in white knickerbockers, and had a fight with a bum named Etty in the garden.",-0.3818,0.0,0.14,0.86,0,1,0
214,"Snell was there three days before he went to the penitentiary, so drunk out on the gravel drive that Mrs. Ulysses Swett’s automobile ran over his right hand.",-0.1069,0.098,0.141,0.762,0,1,0
215,"And the Catlips and the Bembergs and G. Earl Muldoon, brother to that Muldoon who afterward strangled his wife.",-0.5423,0.0,0.163,0.837,0,1,0
216,A man named Klipspringer was there so often that he became known as “the boarder”—I doubt if he had any other home.,-0.3612,0.0,0.111,0.889,0,1,0
217,"Also from New York were the Chromes and the Backhyssons and the Dennickers and Russel Betty and the Corrigans and the Kellehers and the Dewars and the Scullys and S. W. Belcher and the Smirkes and the young Quinns, divorced now, and Henry L. Palmetto, who killed himself by jumping in front of a subway train in Times Square.",-0.6705,0.0,0.073,0.927,0,1,0
218,"In addition to all these I can remember that Faustina O’Brien came there at least once and the Baedeker girls and young Brewer, who had his nose shot off in the war, and Mr. Albrucksburger and Miss Haag, his fiancée, and Ardita Fitz-Peters and Mr. P. Jewett, once head of the American Legion, and Miss Claudia Hip, with a man reputed to be her chauffeur, and a prince of something, whom we called Duke, and whose name, if I ever knew it, I have forgotten.",-0.7906,0.0,0.106,0.894,0,1,0
219,This quality was continually breaking through his punctilious manner in the shape of restlessness.,-0.296,0.0,0.145,0.855,0,1,0
220,"I had talked with him perhaps half a dozen times in the past month and found, to my disappointment, that he had little to say.",-0.5106,0.0,0.13,0.87,0,1,0
221,"“Look here, old sport,” he broke out surprisingly, “what’s your opinion of me, anyhow?” A little overwhelmed, I began the generalized evasions which that question deserves.",-0.1761,0.081,0.144,0.775,0,1,0
222,"“Well, I’m going to tell you something about my life,” he interrupted.",-0.296,0.0,0.167,0.833,0,1,0
223,“I don’t want you to get a wrong idea of me from all these stories you hear.” So he was aware of the bizarre accusations that flavoured conversation in his halls.,-0.7506,0.037,0.22,0.743,0,1,0
224,“I am the son of some wealthy people in the Middle West—all dead now.,-0.4215,0.133,0.229,0.638,0,1,0
225,It is a family tradition.” He looked at me sideways—and I knew why Jordan Baker had believed he was lying.,-0.5267,0.0,0.167,0.833,0,1,0
226,"He hurried the phrase “educated at Oxford,” or swallowed it, or choked on it, as though it had bothered him before.",-0.6597,0.0,0.221,0.779,0,1,0
227,"And with this doubt, his whole statement fell to pieces, and I wondered if there wasn’t something a little sinister about him, after all.",-0.7566,0.0,0.245,0.755,0,1,0
228,"“San Francisco.” “I see.” “My family all died and I came into a good deal of money.” His voice was solemn, as if the memory of that sudden extinction of a clan still haunted him.",-0.6249,0.075,0.206,0.72,0,1,0
229,The very phrases were worn so threadbare that they evoked no image except that of a turbaned “character” leaking sawdust at every pore as he pursued a tiger through the Bois de Boulogne.,-0.5667,0.0,0.139,0.861,0,1,0
230,"“Then came the war, old sport.",-0.5994,0.0,0.438,0.562,0,1,0
231,"We stayed there two days and two nights, a hundred and thirty men with sixteen Lewis guns, and when the infantry came up at last they found the insignia of three German divisions among the piles of dead.",-0.6486,0.0,0.107,0.893,0,1,0
232,"You see, I usually find myself among strangers because I drift here and there trying to forget the sad things that happened to me.” He hesitated.",-0.743,0.0,0.258,0.742,0,1,0
233,"With fenders spread like wings we scattered light through half Astoria—only half, for as we twisted among the pillars of the elevated I heard the familiar “jug-jug-spat!” of a motorcycle, and a frantic policeman rode alongside.",-0.1759,0.068,0.087,0.845,0,1,0
234,“Filled with faces dead and gone.,-0.6486,0.0,0.462,0.538,0,1,0
235,I can’t forget so long as I live the night they shot Rosy Rosenthal there.,-0.2263,0.0,0.137,0.863,0,1,0
236,"It was six of us at the table, and Rosy had eat and drunk a lot all evening.",-0.34,0.0,0.13,0.87,0,1,0
237,"Gatsby answered for me: “Oh, no,” he exclaimed, “this isn’t the man.” “No?” Mr. Wolfshiem seemed disappointed.",-0.4767,0.0,0.162,0.838,0,1,0
238,"I told you we’d talk about that some other time.” “I beg your pardon,” said Mr. Wolfshiem, “I had a wrong man.” A succulent hash arrived, and Mr. Wolfshiem, forgetting the more sentimental atmosphere of the old Metropole, began to eat with ferocious delicacy.",-0.228,0.058,0.1,0.843,0,1,0
239,"“Look here, old sport,” said Gatsby, leaning toward me, “I’m afraid I made you a little angry this morning in the car.” There was the smile again, but this time I held out against it.",-0.0653,0.052,0.059,0.889,0,1,0
240,"Why has it all got to come through Miss Baker?” “Oh, it’s nothing underhand,” he assured me.",-0.4039,0.0,0.198,0.802,0,1,0
241,“I made the pleasure of his acquaintance just after the war.,-0.0516,0.223,0.235,0.542,0,1,0
242,"“As for me, I am fifty years old, and I won’t impose myself on you any longer.” As he shook hands and turned away his tragic nose was trembling.",-0.7964,0.0,0.283,0.717,0,1,0
243,I wondered if I had said anything to offend him.,-0.296,0.0,0.239,0.761,0,1,0
244,"No, he’s a gambler.” Gatsby hesitated, then added, coolly: “He’s the man who fixed the World’s Series back in 1919.” “Fixed the World’s Series?” I repeated.",-0.5423,0.0,0.17,0.83,0,1,0
245,"“Daisy’s furious because you haven’t called up.” “This is Mr. Gatsby, Mr. Buchanan.” They shook hands briefly, and a strained, unfamiliar look of embarrassment came over Gatsby’s face.",-0.8658,0.0,0.318,0.682,0,1,0
246,"“How’ve you been, anyhow?” demanded Tom of me.",-0.2263,0.0,0.213,0.787,0,1,0
247,"“How’d you happen to come up this far to eat?” “I’ve been having lunch with Mr. Gatsby.” I turned toward Mr. Gatsby, but he was no longer there.",-0.4215,0.0,0.097,0.903,0,1,0
248,"I came into her room half an hour before the bridal dinner, and found her lying on her bed as lovely as the June night in her flowered dress—and as drunk as a monkey.",-0.25,0.098,0.15,0.751,0,1,0
249,"“Never had a drink before, but oh how I do enjoy it.” “What’s the matter, Daisy?” I was scared, I can tell you; I’d never seen a girl like that before.",-0.2651,0.16,0.192,0.648,0,1,0
250,Say: ‘Daisy’s change’ her mine!’ ” She began to cry—she cried and cried.,-0.6696,0.0,0.355,0.645,0,1,0
251,"I saw them in Santa Barbara when they came back, and I thought I’d never seen a girl so mad about her husband.",-0.6269,0.0,0.178,0.822,0,1,0
252,"If he left the room for a minute she’d look around uneasily, and say: “Where’s Tom gone?” and wear the most abstracted expression until she saw him coming in the door.",-0.34,0.0,0.076,0.924,0,1,0
253,"You can hold your tongue and, moreover, you can time any little irregularity of your own so that everybody else is so blind that they don’t see or care.",-0.075,0.095,0.104,0.801,0,1,0
254,"At night when  you’re asleep Into your tent I’ll creep—” “It was a strange coincidence,” I said.",-0.2023,0.0,0.114,0.886,0,1,0
255,"“He wants to know,” continued Jordan, “if you’ll invite Daisy to your house some afternoon and then let him come over.” The modesty of the demand shook me.",-0.0772,0.054,0.098,0.847,0,1,0
256,He thought you might be offended.,-0.25,0.0,0.286,0.714,0,1,0
257,"You see, he’s regular tough underneath it all.” Something worried me.",-0.4019,0.0,0.291,0.709,0,1,0
258,"Of course, I immediately suggested a luncheon in New York—and I thought he’d go mad: “ ‘I don’t want to do anything out of the way!’ he kept saying.",-0.4926,0.047,0.126,0.828,0,1,0
259,"You’re just supposed to invite her to tea.” We passed a barrier of dark trees, and then the façade of Fifty-Ninth Street, a block of delicate pale light, beamed down into the park.",-0.3818,0.082,0.129,0.789,0,1,0
260,"Unlike Gatsby and Tom Buchanan, I had no girl whose disembodied face floated along the dark cornices and blinding signs, and so I drew up the girl beside me, tightening my arms.",-0.296,0.0,0.071,0.929,0,1,0
261,When I came home to West Egg that night I was afraid for a moment that my house was on fire.,-0.34,0.0,0.124,0.876,0,1,0
262,"Only wind in the trees, which blew the wires and made the lights go off and on again as if the house had winked into the darkness.",-0.25,0.0,0.071,0.929,0,1,0
263,"“I talked with Miss Baker,” I said after a moment.",-0.1531,0.0,0.186,0.814,0,1,0
264,"“I’m going to call up Daisy tomorrow and invite her over here to tea.” “Oh, that’s all right,” he said carelessly.",-0.1027,0.071,0.088,0.841,0,1,0
265,"“I don’t want to put you to any trouble, you see.” “How about the day after tomorrow?” He considered for a moment.",-0.34,0.057,0.117,0.826,0,1,0
266,"Then, with reluctance: “I want to get the grass cut,” he said.",-0.2732,0.095,0.175,0.73,0,1,0
267,I suspected that he meant my grass.,-0.2263,0.0,0.275,0.725,0,1,0
268,"“There’s another little thing,” he said uncertainly, and hesitated.",-0.5719,0.0,0.402,0.598,0,1,0
269,"But, because the offer was obviously and tactlessly for a service to be rendered, I had no choice except to cut him off there.",-0.5106,0.0,0.177,0.823,0,1,0
270,"“I’m much obliged but I couldn’t take on any more work.” “You wouldn’t have to do any business with Wolfshiem.” Evidently he thought that I was shying away from the “gonnegtion” mentioned at lunch, but I assured him he was wrong.",-0.5023,0.073,0.145,0.782,0,1,0
271,"“Don’t bring Tom,” I warned her.",-0.2732,0.0,0.344,0.656,0,1,0
272,"At eleven o’clock a man in a raincoat, dragging a lawn-mower, tapped at my front door and said that Mr. Gatsby had sent him over to cut my grass.",-0.2732,0.0,0.077,0.923,0,1,0
273,"This reminded me that I had forgotten to tell my Finn to come back, so I drove into West Egg Village to search for her among soggy whitewashed alleys and to buy some cups and lemons and flowers.",-0.2263,0.0,0.051,0.949,0,1,0
274,"An hour later the front door opened nervously, and Gatsby in a white flannel suit, silver shirt, and gold-coloured tie, hurried in.",-0.1531,0.0,0.074,0.926,0,1,0
275,"He was pale, and there were dark signs of sleeplessness beneath his eyes.",-0.3818,0.0,0.178,0.822,0,1,0
276,“One of the papers said they thought the rain would stop about four.,-0.296,0.0,0.155,0.845,0,1,0
277,"Gatsby looked with vacant eyes through a copy of Clay’s Economics, starting at the Finnish tread that shook the kitchen floor, and peering towards the bleared windows from time to time as if a series of invisible but alarming happenings were taking place outside.",-0.2382,0.0,0.069,0.931,0,1,0
278,"Finally he got up and informed me, in an uncertain voice, that he was going home.",-0.296,0.0,0.128,0.872,0,1,0
279,It’s too late!” He looked at his watch as if there was some pressing demand on his time elsewhere.,-0.2003,0.0,0.091,0.909,0,1,0
280,"“I can’t wait all day.” “Don’t be silly; it’s just two minutes to four.” He sat down miserably, as if I had pushed him, and simultaneously there was the sound of a motor turning into my lane.",-0.4588,0.03,0.083,0.887,0,1,0
281,It stopped.,-0.2263,0.0,0.655,0.345,0,1,0
282,"I had to follow the sound of it for a moment, up and down, with my ear alone, before any words came through.",-0.25,0.0,0.091,0.909,0,1,0
283,"Tell your chauffeur to go far away and spend an hour.” “Come back in an hour, Ferdie.” Then in a grave murmur: “His name is Ferdie.” “Does the gasoline affect his nose?” “I don’t think so,” she said innocently.",-0.0516,0.059,0.063,0.878,0,1,0
284,"Gatsby, pale as death, with his hands plunged like weights in his coat pockets, was standing in a puddle of water glaring tragically into my eyes.",-0.7269,0.078,0.237,0.685,0,1,0
285,"With his hands still in his coat pockets he stalked by me into the hall, turned sharply as if he were on a wire, and disappeared into the living-room.",-0.2263,0.0,0.066,0.934,0,1,0
286,Aware of the loud beating of my own heart I pulled the door to against the increasing rain.,-0.4588,0.0,0.158,0.842,0,1,0
287,"Luckily the clock took this moment to tilt dangerously at the pressure of his head, whereupon he turned and caught it with trembling fingers, and set it back in place.",-0.5267,0.089,0.208,0.703,0,1,0
288,"“I’m sorry about the clock,” he said.",-0.0772,0.0,0.178,0.822,0,1,0
289,"Gatsby got himself into a shadow and, while Daisy and I talked, looked conscientiously from one to the other of us with tense, unhappy eyes.",-0.6369,0.0,0.198,0.802,0,1,0
290,“Where are you going?” demanded Gatsby in immediate alarm.,-0.5106,0.0,0.381,0.619,0,1,0
291,"“I’ll be back.” “I’ve got to speak to you about something before you go.” He followed me wildly into the kitchen, closed the door, and whispered: “Oh, God!” in a miserable way.",-0.5411,0.0,0.104,0.896,0,1,0
292,"“What’s the matter?” “This is a terrible mistake,” he said, shaking his head from side to side, “a terrible, terrible mistake.” “You’re just embarrassed, that’s all,” and luckily I added: “Daisy’s embarrassed too.” “She’s embarrassed?” he repeated incredulously.",-0.9013,0.068,0.336,0.596,0,1,0
293,"“Just as much as you are.” “Don’t talk so loud.” “You’re acting like a little boy,” I broke out impatiently.",-0.4062,0.11,0.23,0.66,0,1,0
294,"“Not only that, but you’re rude.",-0.6124,0.0,0.444,0.556,0,1,0
295,But in the new silence I felt that silence had fallen within the house too.,-0.3612,0.0,0.161,0.839,0,1,0
296,"They were sitting at either end of the couch, looking at each other as if some question had been asked, or was in the air, and every vestige of embarrassment was gone.",-0.4404,0.0,0.086,0.914,0,1,0
297,"Daisy’s face was smeared with tears, and when I came in she jumped up and began wiping at it with her handkerchief before a mirror.",-0.2263,0.0,0.079,0.921,0,1,0
298,I thought for a moment he was going to shake hands.,-0.1779,0.0,0.175,0.825,0,1,0
299,"“It took me just three years to earn the money that bought it.” “I thought you inherited your money.” “I did, old sport,” he said automatically, “but I lost most of it in the big panic—the panic of the war.” I think he hardly knew what he was saying, for when I asked him what business he was in he answered: “That’s my affair,” before he realized that it wasn’t an appropriate reply.",-0.6808,0.0,0.076,0.924,0,1,0
300,“That huge place there?” she cried pointing.,-0.0772,0.232,0.263,0.505,0,1,0
301,"It was strange to reach the marble steps and find no stir of bright dresses in and out the door, and hear no sound but bird voices in the trees.",-0.1531,0.092,0.141,0.767,0,1,0
302,His bedroom was the simplest room of all—except where the dresser was garnished with a toilet set of pure dull gold.,-0.4019,0.0,0.124,0.876,0,1,0
303,"He sends over a selection of things at the beginning of each season, spring and fall.” He took out a pile of shirts and began throwing them, one by one, before us, shirts of sheer linen and thick silk and fine flannel, which lost their folds as they fell and covered the table in many-coloured disarray.",-0.128,0.032,0.041,0.927,0,1,0
304,"Suddenly, with a strained sound, Daisy bent her head into the shirts and began to cry stormily.",-0.7003,0.0,0.293,0.707,0,1,0
305,"“It makes me sad because I’ve never seen such—such beautiful shirts before.”  After the house, we were to see the grounds and the swimming pool, and the hydroplane, and the midsummer flowers—but outside Gatsby’s window it began to rain again, so we stood in a row looking at the corrugated surface of the Sound.",-0.7388,0.0,0.109,0.891,0,1,0
306,"I began to walk about the room, examining various indefinite objects in the half darkness.",-0.25,0.0,0.133,0.867,0,1,0
307,“He’s dead now.,-0.6486,0.0,0.683,0.317,0,1,0
308,“Come here quick!” cried Daisy at the window.,-0.4389,0.0,0.292,0.708,0,1,0
309,"The rain was still falling, but the darkness had parted in the west, and there was a pink and golden billow of foamy clouds above the sea.",-0.4215,0.0,0.137,0.863,0,1,0
310,"“I know what we’ll do,” said Gatsby, “we’ll have Klipspringer play the piano.” He went out of the room calling “Ewing!” and returned in a few minutes accompanied by an embarrassed, slightly worn young man, with shell-rimmed glasses and scanty blond hair.",-0.318,0.053,0.104,0.843,0,1,0
311,“Did we interrupt your exercise?” inquired Daisy politely.,-0.34,0.0,0.255,0.745,0,1,0
312,"“I was asleep,” cried Mr. Klipspringer, in a spasm of embarrassment.",-0.6705,0.0,0.407,0.593,0,1,0
313,"I’m all out of prac—” “We’ll go downstairs,” interrupted Gatsby.",-0.296,0.0,0.196,0.804,0,1,0
314,The grey windows disappeared as the house glowed full of light.,-0.1779,0.099,0.157,0.744,0,1,0
315,"He lit Daisy’s cigarette from a trembling match, and sat down with her on a couch far across the room, where there was no light save what the gleaming floor bounced in from the hall.",-0.128,0.084,0.124,0.792,0,1,0
316,No amount of fire or freshness can challenge what a man can store up in his ghostly heart.,-0.5106,0.065,0.231,0.704,0,1,0
317,“Why—any statement to give out.” It transpired after a confused five minutes that the man had heard Gatsby’s name around his office in a connection which he either wouldn’t reveal or didn’t fully understand.,-0.3182,0.0,0.069,0.931,0,1,0
318,"It was James Gatz who had been loafing along the beach that afternoon in a torn green jersey and a pair of canvas pants, but it was already Jay Gatsby who borrowed a rowboat, pulled out to the Tuolomee, and informed Cody that a wind might catch him and break him up in half an hour.",-0.128,0.0,0.029,0.971,0,1,0
319,His parents were shiftless and unsuccessful farm people—his imagination had never really accepted them as his parents at all.,-0.547,0.0,0.21,0.79,0,1,0
320,"He knew women early, and since they spoiled him he became contemptuous of them, of young virgins because they were ignorant, of the others because they were hysterical about things which in his overwhelming self-absorption he took for granted.",-0.5267,0.046,0.147,0.806,0,1,0
321,"But his heart was in a constant, turbulent riot.",-0.5574,0.0,0.34,0.66,0,1,0
322,A universe of ineffable gaudiness spun itself out in his brain while the clock ticked on the washstand and the moon soaked with wet light his tangled clothes upon the floor.,-0.4215,0.0,0.088,0.912,0,1,0
323,"He stayed there two weeks, dismayed at its ferocious indifference to the drums of his destiny, to destiny itself, and despising the janitor’s work with which he was to pay his way through.",-0.8225,0.0,0.275,0.725,0,1,0
324,"The none too savoury ramifications by which Ella Kaye, the newspaper woman, played Madame de Maintenon to his weakness and sent him to sea in a yacht, were common property of the turgid journalism in 1902.",-0.1027,0.063,0.073,0.864,0,1,0
325,It might have lasted indefinitely except for the fact that Ella Kaye came on board one night in Boston and a week later Dan Cody inhospitably died.,-0.5574,0.0,0.126,0.874,0,1,0
326,"I remember the portrait of him up in Gatsby’s bedroom, a grey, florid man with a hard, empty face—the pioneer debauchee, who during one phase of American life brought back to the Eastern seaboard the savage violence of the frontier brothel and saloon.",-0.8442,0.026,0.222,0.753,0,1,0
327,He was left with his singularly appropriate education; the vague contour of Jay Gatsby had filled out to the substantiality of a man.,-0.1027,0.0,0.062,0.938,0,1,0
328,"Moreover he told it to me at a time of confusion, when I had reached the point of believing everything and nothing about him.",-0.2023,0.059,0.093,0.847,0,1,0
329,“I’ll have something to drink for you in just a minute.” He was profoundly affected by the fact that Tom was there.,-0.1531,0.0,0.074,0.926,0,1,0
330,"But he would be uneasy anyhow until he had given them something, realizing in a vague way that that was all they came for.",-0.4588,0.0,0.16,0.84,0,1,0
331,"You were with Nick here.” “I know your wife,” continued Gatsby, almost aggressively.",-0.2516,0.0,0.143,0.857,0,1,0
332,“I wonder where in the devil he met Daisy.,-0.6597,0.0,0.355,0.645,0,1,0
333,They meet all kinds of crazy fish.” Suddenly Mr. Sloane and the lady walked down the steps and mounted their horses.,-0.34,0.0,0.107,0.893,0,1,0
334,"Tom was evidently perturbed at Daisy’s running around alone, for on the following Saturday night he came with her to Gatsby’s party.",-0.1779,0.103,0.169,0.728,0,1,0
335,It is invariably saddening to look through new eyes at things upon which you have expended your own powers of adjustment.,-0.4939,0.0,0.138,0.862,0,1,0
336,I’m having a marvellous—” “You must see the faces of many people you’ve heard about.” Tom’s arrogant eyes roamed the crowd.,-0.4939,0.0,0.144,0.856,0,1,0
337,"“In case there’s a fire or a flood,” she explained, “or any act of God.” Tom appeared from his oblivion as we were sitting down to supper together.",-0.34,0.0,0.088,0.912,0,1,0
338,"“How do you feel, Miss Baedeker?” The girl addressed was trying, unsuccessfully, to slump against my shoulder.",-0.5106,0.0,0.223,0.777,0,1,0
339,"I tell her she ought to leave it alone.” “I do leave it alone,” affirmed the accused hollowly.",-0.3818,0.0,0.247,0.753,0,1,0
340,"“We heard you yelling, so I said to Doc Civet here: ‘There’s somebody that needs your help, Doc.’ ” “She’s much obliged, I’m sure,” said another friend, without gratitude, “but you got her dress all wet when you stuck her head in the pool.” “Anything I hate is to get my head stuck in a pool,” mumbled Miss Baedeker.",-0.6251,0.09,0.182,0.728,0,1,0
341,"“They almost drowned me once over in New Jersey.” “Then you ought to leave it alone,” countered Doctor Civet.",-0.5868,0.0,0.22,0.78,0,1,0
342,“Speak for yourself!” cried Miss Baedeker violently.,-0.807,0.0,0.675,0.325,0,1,0
343,"She was appalled by West Egg, this unprecedented “place” that Broadway had begotten upon a Long Island fishing village—appalled by its raw vigour that chafed under the old euphemisms and by the too obtrusive fate that herded its inhabitants along a shortcut from nothing to nothing.",-0.2732,0.041,0.064,0.896,0,1,0
344,She saw something awful in the very simplicity she failed to understand.,-0.7624,0.0,0.396,0.604,0,1,0
345,"Sometimes a shadow moved against a dressing-room blind above, gave way to another shadow, an indefinite procession of shadows, who rouged and powdered in an invisible glass.",-0.4019,0.0,0.101,0.899,0,1,0
346,“Who is this Gatsby anyhow?” demanded Tom suddenly.,-0.2263,0.0,0.213,0.787,0,1,0
347,"“She didn’t have a good time.” He was silent, and I guessed at his unutterable depression.",-0.2023,0.156,0.199,0.645,0,1,0
348,“It’s hard to make her understand.” “You mean about the dance?” “The dance?” He dismissed all the dances he had given with a snap of his fingers.,-0.1926,0.0,0.066,0.934,0,1,0
349,"“Old sport, the dance is unimportant.” He wanted nothing less of Daisy than that she should go to Tom and say: “I never loved you.” After she had obliterated four years with that sentence they could decide upon the more practical measures to be taken.",-0.7137,0.026,0.126,0.848,0,1,0
350,We’d sit for hours—” He broke off and began to walk up and down a desolate path of fruit rinds and discarded favours and crushed flowers.,-0.6369,0.088,0.252,0.66,0,1,0
351,“You can’t repeat the past.” “Can’t repeat the past?” he cried incredulously.,-0.3818,0.0,0.191,0.809,0,1,0
352,"His life had been confused and disordered since then, but if he could once return to a certain starting place and go over it all slowly, he could find out what that thing was … … One autumn night, five years before, they had been walking down the street when the leaves were falling, and they came to a place where there were no trees and the sidewalk was white with moonlight.",-0.4019,0.036,0.087,0.877,0,1,0
353,They stopped here and turned toward each other.,-0.2263,0.0,0.213,0.787,0,1,0
354,The quiet lights in the houses were humming out into the darkness and there was a stir and bustle among the stars.,-0.25,0.0,0.091,0.909,0,1,0
355,"Out of the corner of his eye Gatsby saw that the blocks of the sidewalks really formed a ladder and mounted to a secret place above the trees—he could climb to it, if he climbed alone, and once there he could suck on the pap of life, gulp down the incomparable milk of wonder.",-0.7003,0.0,0.122,0.878,0,1,0
356,"So he waited, listening for a moment longer to the tuning-fork that had been struck upon a star.",-0.25,0.0,0.118,0.882,0,1,0
357,"Through all he said, even through his appalling sentimentality, I was reminded of something—an elusive rhythm, a fragment of lost words, that I had heard somewhere a long time ago.",-0.3818,0.073,0.16,0.767,0,1,0
358,"For a moment a phrase tried to take shape in my mouth and my lips parted like a dumb man’s, as though there was more struggling upon them than a wisp of startled air.",-0.6801,0.068,0.221,0.711,0,1,0
359,"But they made no sound, and what I had almost remembered was uncommunicable forever.",-0.296,0.0,0.155,0.845,0,1,0
360,"It was when curiosity about Gatsby was at its highest that the lights in his house failed to go on one Saturday night—and, as obscurely as it had begun, his career as Trimalchio was over.",-0.5106,0.0,0.088,0.912,0,1,0
361,Wondering if he were sick I went over to find out—an unfamiliar butler with a villainous face squinted at me suspiciously from the door.,-0.8402,0.0,0.321,0.679,0,1,0
362,"“I hadn’t seen him around, and I was rather worried.",-0.296,0.0,0.216,0.784,0,1,0
363,Tell him Mr. Carraway came over.” “Who?” he demanded rudely.,-0.6249,0.0,0.389,0.611,0,1,0
364,"“No, old sport.” “I hear you fired all your servants.” “I wanted somebody who wouldn’t gossip.",-0.6486,0.0,0.275,0.725,0,1,0
365,Miss Baker would be there.,-0.1531,0.0,0.286,0.714,0,1,0
366,"As my train emerged from the tunnel into sunlight, only the hot whistles of the National Biscuit Company broke the simmering hush at noon.",-0.4215,0.0,0.109,0.891,0,1,0
367,"The straw seats of the car hovered on the edge of combustion; the woman next to me perspired delicately for a while into her white shirtwaist, and then, as her newspaper dampened under her fingers, lapsed despairingly into deep heat with a desolate cry.",-0.6486,0.042,0.133,0.825,0,1,0
368,"I picked it up with a weary bend and handed it back to her, holding it at arm’s length and by the extreme tip of the corners to indicate that I had no designs upon it—but everyone near by, including the woman, suspected me just the same.",-0.6369,0.0,0.131,0.869,0,1,0
369,"“Madame expects you in the salon!” he cried, needlessly indicating the direction.",-0.4389,0.0,0.208,0.792,0,1,0
370,"The voice in the hall rose high with annoyance: “Very well, then, I won’t sell you the car at all … I’m under no obligations to you at all … and as for your bothering me about it at lunch time, I won’t stand that at all!” “Holding down the receiver,” said Daisy cynically.",-0.7644,0.037,0.171,0.792,0,1,0
371,"I happen to know about it.” Tom flung open the door, blocked out its space for a moment with his thick body, and hurried into the room.",-0.2732,0.0,0.08,0.92,0,1,0
372,"“You forget there’s a lady present,” said Jordan.",-0.2263,0.0,0.241,0.759,0,1,0
373,Daisy looked around doubtfully.,-0.296,0.0,0.423,0.577,0,1,0
