w0,w1,w2,n,p
adding,that,he,1,1.931807205640877e-05
adding,to,it,1,1.931807205640877e-05
addition,to,all,1,1.931807205640877e-05
address,<s>,<s>,1,1.931807205640877e-05
address,cordial,remarks,1,1.931807205640877e-05
address,is,care,1,1.931807205640877e-05
address,on,broadway,1,1.931807205640877e-05
addressed,a,mumbled,1,1.931807205640877e-05
addressed,to,<s>,1,1.931807205640877e-05
addressed,was,trying,1,1.931807205640877e-05
addresses,heres,my,1,1.931807205640877e-05
addressing,me,for,1,1.931807205640877e-05
addressinside,of,a,1,1.931807205640877e-05
adjusted,himself,a,1,1.931807205640877e-05
adjustment,<s>,<s>,1,1.931807205640877e-05
admiration,at,his,1,1.931807205640877e-05
admiration,from,my,1,1.931807205640877e-05
admire,the,view,1,1.931807205640877e-05
admired,he,brought,1,1.931807205640877e-05
admired,her,most,1,1.931807205640877e-05
admired,the,gardens,1,1.931807205640877e-05
admired,this,aspect,1,1.931807205640877e-05
admiringly,<s>,<s>,1,1.931807205640877e-05
admission,<s>,<s>,2,3.863614411281754e-05
admitted,in,a,1,1.931807205640877e-05
admitted,only,a,1,1.931807205640877e-05
admitted,that,he,1,1.931807205640877e-05
admitted,the,child,1,1.931807205640877e-05
adorable,<s>,<s>,1,1.931807205640877e-05
adore,it,,1,1.931807205640877e-05
adriatic,sea,<s>,1,1.931807205640877e-05
advance,<s>,<s>,1,1.931807205640877e-05
advanced,people,<s>,1,1.931807205640877e-05
advancing,toward,her,1,1.931807205640877e-05
advantage,<s>,<s>,1,1.931807205640877e-05
advantage,of,this,1,1.931807205640877e-05
advantages,<s>,<s>,1,1.931807205640877e-05
adventitious,authority,of,1,1.931807205640877e-05
adventurous,feel,of,1,1.931807205640877e-05
advertisement,,michaelis,1,1.931807205640877e-05
advertisement,of,the,2,3.863614411281754e-05
advertisement,over,his,1,1.931807205640877e-05
advice,<s>,<s>,1,1.931807205640877e-05
advice,of,an,1,1.931807205640877e-05
advised,him,to,1,1.931807205640877e-05
advised,me,<s>,1,1.931807205640877e-05
aesthetic,<s>,<s>,1,1.931807205640877e-05
affair,,<s>,1,1.931807205640877e-05
affair,,before,1,1.931807205640877e-05
affair,<s>,<s>,1,1.931807205640877e-05
affair,by,any,1,1.931807205640877e-05
affair,that,couldnt,1,1.931807205640877e-05
affair,with,a,1,1.931807205640877e-05
affairs,<s>,<s>,2,3.863614411281754e-05
affairsand,ill,carry,1,1.931807205640877e-05
affect,his,nose,2,3.863614411281754e-05
affectations,conceal,something,1,1.931807205640877e-05
affected,by,the,1,1.931807205640877e-05
affected,moment,by,1,1.931807205640877e-05
affection,<s>,<s>,1,1.931807205640877e-05
affection,upon,her,1,1.931807205640877e-05
affirmed,the,accused,1,1.931807205640877e-05
afford,to,<s>,1,1.931807205640877e-05
affront,to,the,1,1.931807205640877e-05
afraid,for,a,1,1.931807205640877e-05
afraid,hes,waited,1,1.931807205640877e-05
afraid,i,<s>,1,1.931807205640877e-05
afraid,i,wont,1,1.931807205640877e-05
afraid,im,not,1,1.931807205640877e-05
afraid,no,ones,1,1.931807205640877e-05
afraid,of,missing,1,1.931807205640877e-05
afraid,they,would,1,1.931807205640877e-05
afraid,to,tell,1,1.931807205640877e-05
after,<s>,<s>,5,9.659036028204386e-05
after,a,<s>,3,5.795421616922631e-05
after,a,certain,1,1.931807205640877e-05
after,a,confused,1,1.931807205640877e-05
after,a,little,1,1.931807205640877e-05
after,a,long,1,1.931807205640877e-05
after,a,minute,2,3.863614411281754e-05
after,a,moment,12,0.00023181686467690525
after,a,pause,1,1.931807205640877e-05
after,a,somehow,1,1.931807205640877e-05
after,all,<s>,4,7.727228822563508e-05
after,all,in,1,1.931807205640877e-05
after,alltom,and,1,1.931807205640877e-05
after,an,infinitesimal,1,1.931807205640877e-05
after,an,instants,1,1.931807205640877e-05
after,another,crept,1,1.931807205640877e-05
after,boasting,this,1,1.931807205640877e-05
after,changing,my,1,1.931807205640877e-05
after,dinner,i,1,1.931807205640877e-05
after,eight,oclock,1,1.931807205640877e-05
after,five,and,1,1.931807205640877e-05
after,five,when,1,1.931807205640877e-05
after,gatsbys,death,1,1.931807205640877e-05
after,half,an,1,1.931807205640877e-05
after,he,is,1,1.931807205640877e-05
after,he,left,1,1.931807205640877e-05
after,her,arent,1,1.931807205640877e-05
after,his,embarrassment,1,1.931807205640877e-05
after,i,<s>,1,1.931807205640877e-05
after,i,talked,1,1.931807205640877e-05
after,id,met,1,1.931807205640877e-05
after,it,one,1,1.931807205640877e-05
after,me,for,1,1.931807205640877e-05
after,midnight,a,1,1.931807205640877e-05
after,midnightwas,now,1,1.931807205640877e-05
after,my,father,1,1.931807205640877e-05
after,seven,he,1,1.931807205640877e-05
after,she,had,1,1.931807205640877e-05
after,she,was,1,1.931807205640877e-05
after,staring,around,1,1.931807205640877e-05
after,that,and,1,1.931807205640877e-05
after,that,he,1,1.931807205640877e-05
after,that,i,2,3.863614411281754e-05
after,that,if,1,1.931807205640877e-05
after,that,my,1,1.931807205640877e-05
after,that,she,1,1.931807205640877e-05
after,that,they,1,1.931807205640877e-05
after,the,<s>,2,3.863614411281754e-05
after,the,armistice,1,1.931807205640877e-05
after,the,first,1,1.931807205640877e-05
after,the,house,1,1.931807205640877e-05
after,the,war,2,3.863614411281754e-05
after,them,all,1,1.931807205640877e-05
after,there,was,1,1.931807205640877e-05
after,tomorrow,<s>,1,1.931807205640877e-05
after,tomorrow,and,1,1.931807205640877e-05
after,two,highballs,1,1.931807205640877e-05
after,two,years,1,1.931807205640877e-05
after,us,over,1,1.931807205640877e-05
after,various,delays,1,1.931807205640877e-05
after,we,found,1,1.931807205640877e-05
after,we,left,1,1.931807205640877e-05
after,we,started,1,1.931807205640877e-05
after,you,had,1,1.931807205640877e-05
afternoon,<s>,<s>,22,0.00042499758524099297
afternoon,and,<s>,1,1.931807205640877e-05
afternoon,and,long,1,1.931807205640877e-05
afternoon,and,now,1,1.931807205640877e-05
afternoon,and,taken,1,1.931807205640877e-05
afternoon,and,then,1,1.931807205640877e-05
afternoon,and,tom,1,1.931807205640877e-05
afternoon,and,when,1,1.931807205640877e-05
afternoon,before,he,1,1.931807205640877e-05
afternoon,dress,of,1,1.931807205640877e-05
afternoon,for,no,1,1.931807205640877e-05
afternoon,i,had,1,1.931807205640877e-05
afternoon,i,watched,1,1.931807205640877e-05
afternoon,in,a,1,1.931807205640877e-05
afternoon,late,in,1,1.931807205640877e-05
afternoon,sitting,up,1,1.931807205640877e-05
afternoon,sky,bloomed,1,1.931807205640877e-05
afternoon,slipped,away,1,1.931807205640877e-05
afternoon,to,a,1,1.931807205640877e-05
afternoon,wasnt,minedo,1,1.931807205640877e-05
afternoon,when,<s>,1,1.931807205640877e-05
afternoons,<s>,<s>,1,1.931807205640877e-05
afternoons,when,everyones,1,1.931807205640877e-05
afterward,he,kept,1,1.931807205640877e-05
afterward,i,looked,1,1.931807205640877e-05
afterward,savours,of,1,1.931807205640877e-05
afterward,strangled,his,1,1.931807205640877e-05
afterward,to,me,1,1.931807205640877e-05
afterward,traced,to,1,1.931807205640877e-05
again,,<s>,2,3.863614411281754e-05
again,<s>,<s>,14,0.0002704530087897228
again,a,green,1,1.931807205640877e-05
again,a,little,1,1.931807205640877e-05
again,a,sort,1,1.931807205640877e-05
again,and,he,1,1.931807205640877e-05
again,and,michaelis,1,1.931807205640877e-05
again,and,the,1,1.931807205640877e-05
again,as,if,2,3.863614411281754e-05
again,at,a,1,1.931807205640877e-05
again,at,eight,1,1.931807205640877e-05
again,but,this,1,1.931807205640877e-05
again,closer,this,1,1.931807205640877e-05
again,correct,<s>,1,1.931807205640877e-05
again,for,over,1,1.931807205640877e-05
again,gay,as,1,1.931807205640877e-05
again,her,voice,1,1.931807205640877e-05
again,in,a,2,3.863614411281754e-05
again,in,gatsbys,1,1.931807205640877e-05
again,in,his,1,1.931807205640877e-05
again,in,the,1,1.931807205640877e-05
again,in,this,1,1.931807205640877e-05
again,keeping,half,1,1.931807205640877e-05
again,like,<s>,1,1.931807205640877e-05
again,outside,and,1,1.931807205640877e-05
again,over,the,1,1.931807205640877e-05
again,pointlessly,and,1,1.931807205640877e-05
again,quickly,and,1,1.931807205640877e-05
again,she,got,1,1.931807205640877e-05
again,so,we,1,1.931807205640877e-05
again,that,most,1,1.931807205640877e-05
again,through,daisys,1,1.931807205640877e-05
again,to,go,1,1.931807205640877e-05
again,to,my,1,1.931807205640877e-05
again,two,days,1,1.931807205640877e-05
again,when,it,1,1.931807205640877e-05
again,with,a,1,1.931807205640877e-05
again,with,the,2,3.863614411281754e-05
against,a,dressing,1,1.931807205640877e-05
against,a,table,1,1.931807205640877e-05
against,accusations,that,1,1.931807205640877e-05
against,drinking,that,1,1.931807205640877e-05
against,him,but,1,1.931807205640877e-05
against,his,coats,1,1.931807205640877e-05
against,it,<s>,1,1.931807205640877e-05
against,it,moulding,1,1.931807205640877e-05
against,itand,i,1,1.931807205640877e-05
against,its,<s>,1,1.931807205640877e-05
against,my,<s>,1,1.931807205640877e-05
against,my,arm,1,1.931807205640877e-05
against,my,coats,1,1.931807205640877e-05
against,salads,of,1,1.931807205640877e-05
against,the,<s>,2,3.863614411281754e-05
against,the,blue,1,1.931807205640877e-05
against,the,current,1,1.931807205640877e-05
against,the,dull,1,1.931807205640877e-05
against,the,face,1,1.931807205640877e-05
against,the,fresh,1,1.931807205640877e-05
against,the,front,1,1.931807205640877e-05
against,the,heat,1,1.931807205640877e-05
against,the,increasing,1,1.931807205640877e-05
against,the,pump,1,1.931807205640877e-05
against,the,singing,1,1.931807205640877e-05
against,the,sky,1,1.931807205640877e-05
against,the,warm,1,1.931807205640877e-05
against,the,white,1,1.931807205640877e-05
against,the,windows,1,1.931807205640877e-05
against,them,all,1,1.931807205640877e-05
against,toms,hard,1,1.931807205640877e-05
againthe,object,<s>,1,1.931807205640877e-05
age,<s>,<s>,1,1.931807205640877e-05
age,and,a,1,1.931807205640877e-05
age,of,seventeen,1,1.931807205640877e-05
age,to,age,1,1.931807205640877e-05
age,where,death,1,1.931807205640877e-05
aged,man,with,1,1.931807205640877e-05
aggressive,way,his,1,1.931807205640877e-05
aggressively,<s>,<s>,1,1.931807205640877e-05
aggressively,forward,<s>,1,1.931807205640877e-05
ago,<s>,<s>,12,0.00023181686467690525
ago,and,bought,1,1.931807205640877e-05
ago,and,replaced,1,1.931807205640877e-05
ago,because,i,1,1.931807205640877e-05
ago,from,new,1,1.931807205640877e-05
ago,his,<s>,1,1.931807205640877e-05
ago,secure,and,1,1.931807205640877e-05
ago,she,heard,1,1.931807205640877e-05
agonizingly,aware,of,1,1.931807205640877e-05
agreeable,colourless,way,1,1.931807205640877e-05
agreed,gatsby,and,1,1.931807205640877e-05
agreed,ill,be,1,1.931807205640877e-05
agreed,that,it,1,1.931807205640877e-05
agreed,the,policeman,1,1.931807205640877e-05
agreed,to,finance,1,1.931807205640877e-05
agreed,to,pay,1,1.931807205640877e-05
agreed,tom,<s>,1,1.931807205640877e-05
agreed,upon,was,1,1.931807205640877e-05
agreed,wilson,hurriedly,1,1.931807205640877e-05
agreement,<s>,<s>,1,1.931807205640877e-05
agreement,that,such,1,1.931807205640877e-05
ah,,she,1,1.931807205640877e-05
ah,h,h,2,3.863614411281754e-05
ahead,,answered,1,1.931807205640877e-05
ahead,<s>,<s>,2,3.863614411281754e-05
ahead,but,she,1,1.931807205640877e-05
ahead,lay,the,1,1.931807205640877e-05
aid,and,<s>,1,1.931807205640877e-05
aint,we,got,1,1.931807205640877e-05
air,<s>,<s>,14,0.0002704530087897228
air,a,<s>,1,1.931807205640877e-05
air,and,every,1,1.931807205640877e-05
air,and,the,1,1.931807205640877e-05
air,drifted,<s>,1,1.931807205640877e-05
air,dumps,it,1,1.931807205640877e-05
air,is,alive,1,1.931807205640877e-05
air,of,breathless,1,1.931807205640877e-05
air,scarcely,a,1,1.931807205640877e-05
air,to,her,1,1.931807205640877e-05
air,to,save,1,1.931807205640877e-05
air,with,the,1,1.931807205640877e-05
aired,for,many,1,1.931807205640877e-05
airedale,<s>,<s>,1,1.931807205640877e-05
airedale,concerned,in,1,1.931807205640877e-05
airedaleundoubtedly,there,was,1,1.931807205640877e-05
ajar,and,gleaming,1,1.931807205640877e-05
ajar,his,face,1,1.931807205640877e-05
alarm,<s>,<s>,1,1.931807205640877e-05
alarmed,anyone,<s>,1,1.931807205640877e-05
alarmed,now,but,1,1.931807205640877e-05
alarming,happenings,were,1,1.931807205640877e-05
albany,<s>,<s>,1,1.931807205640877e-05
albrucksburger,and,miss,1,1.931807205640877e-05
alcohol,over,the,1,1.931807205640877e-05
ale,<s>,<s>,3,5.795421616922631e-05
ale,and,aware,1,1.931807205640877e-05
aleand,yet,they,1,1.931807205640877e-05
alert,aggressive,way,1,1.931807205640877e-05
alert,confident,voice,1,1.931807205640877e-05
alert,for,something,1,1.931807205640877e-05
alertly,and,said,1,1.931807205640877e-05
alertly,cheerfully,without,1,1.931807205640877e-05
alighted,on,tom,1,1.931807205640877e-05
alignment,gave,a,1,1.931807205640877e-05
alive,<s>,<s>,2,3.863614411281754e-05
alive,and,<s>,1,1.931807205640877e-05
alive,to,me,1,1.931807205640877e-05
alive,with,chatter,1,1.931807205640877e-05
all,,<s>,2,3.863614411281754e-05
all,,and,2,3.863614411281754e-05
all,,im,1,1.931807205640877e-05
all,<s>,<s>,39,0.000753404810199942
all,about,him,1,1.931807205640877e-05
all,about,it,1,1.931807205640877e-05
all,afternoon,<s>,3,5.795421616922631e-05
all,alone,<s>,2,3.863614411281754e-05
all,along,<s>,1,1.931807205640877e-05
all,along,intended,1,1.931807205640877e-05
all,and,a,1,1.931807205640877e-05
all,around,<s>,1,1.931807205640877e-05
all,arrangements,had,1,1.931807205640877e-05
all,back,at,1,1.931807205640877e-05
all,believed,for,1,1.931807205640877e-05
all,built,with,1,1.931807205640877e-05
all,but,in,1,1.931807205640877e-05
all,came,for,1,1.931807205640877e-05
all,come,at,1,1.931807205640877e-05
all,come,over,1,1.931807205640877e-05
all,connected,with,1,1.931807205640877e-05
all,contempt,for,1,1.931807205640877e-05
all,daisys,<s>,1,1.931807205640877e-05
all,day,<s>,2,3.863614411281754e-05
all,day,long,1,1.931807205640877e-05
all,day,with,2,3.863614411281754e-05
all,died,and,1,1.931807205640877e-05
all,evening,to,1,1.931807205640877e-05
all,excited,<s>,1,1.931807205640877e-05
all,eyes,<s>,1,1.931807205640877e-05
all,go,<s>,1,1.931807205640877e-05
all,go,home,1,1.931807205640877e-05
all,go,in,1,1.931807205640877e-05
all,go,to,2,3.863614411281754e-05
all,going,by,1,1.931807205640877e-05
all,going,to,1,1.931807205640877e-05
all,got,<s>,1,1.931807205640877e-05
all,happened,in,1,1.931807205640877e-05
all,he,said,1,1.931807205640877e-05
all,her,dresses,1,1.931807205640877e-05
all,his,money,1,1.931807205640877e-05
all,his,own,1,1.931807205640877e-05
all,i,<s>,1,1.931807205640877e-05
all,i,ask,1,1.931807205640877e-05
all,i,could,1,1.931807205640877e-05
all,i,kept,1,1.931807205640877e-05
all,i,knew,1,1.931807205640877e-05
all,i,know,1,1.931807205640877e-05
all,in,the,2,3.863614411281754e-05
all,in,two,1,1.931807205640877e-05
all,irritable,now,1,1.931807205640877e-05
all,judgements,a,1,1.931807205640877e-05
all,kinds,<s>,1,1.931807205640877e-05
all,kinds,of,1,1.931807205640877e-05
all,looked,at,1,1.931807205640877e-05
all,looked,in,1,1.931807205640877e-05
all,lookedthe,knuckle,1,1.931807205640877e-05
all,looking,a,1,1.931807205640877e-05
all,my,ancestors,1,1.931807205640877e-05
all,my,aunts,1,1.931807205640877e-05
all,night,<s>,1,1.931807205640877e-05
all,night,at,1,1.931807205640877e-05
all,night,if,1,1.931807205640877e-05
all,night,restaurant,1,1.931807205640877e-05
all,night,the,1,1.931807205640877e-05
all,of,a,2,3.863614411281754e-05
all,of,them,2,3.863614411281754e-05
all,of,us,2,3.863614411281754e-05
all,out,of,2,3.863614411281754e-05
all,over,<s>,1,1.931807205640877e-05
all,over,again,2,3.863614411281754e-05
all,over,now,2,3.863614411281754e-05
all,over,the,1,1.931807205640877e-05
all,quiet,<s>,1,1.931807205640877e-05
all,quiet,up,1,1.931807205640877e-05
all,radiantly,<s>,1,1.931807205640877e-05
all,right,,5,9.659036028204386e-05
all,right,<s>,3,5.795421616922631e-05
all,right,at,1,1.931807205640877e-05
all,right,ill,1,1.931807205640877e-05
all,right,in,1,1.931807205640877e-05
all,right,katspaugh,1,1.931807205640877e-05
all,right,now,3,5.795421616922631e-05
all,right,old,1,1.931807205640877e-05
all,right,tomorrow,1,1.931807205640877e-05
all,run,down,1,1.931807205640877e-05
all,scientific,,1,1.931807205640877e-05
all,scientific,stuff,1,1.931807205640877e-05
all,slowly,he,1,1.931807205640877e-05
all,sorts,of,1,1.931807205640877e-05
all,specialists,the,1,1.931807205640877e-05
all,subjects,,1,1.931807205640877e-05
all,such,things,1,1.931807205640877e-05
all,summer,<s>,3,5.795421616922631e-05
all,talked,at,1,1.931807205640877e-05
all,talking,in,1,1.931807205640877e-05
all,that,<s>,1,1.931807205640877e-05
all,that,absorbed,1,1.931807205640877e-05
all,that,sort,1,1.931807205640877e-05
all,that,time,1,1.931807205640877e-05
all,the,<s>,4,7.727228822563508e-05
all,the,afternoon,1,1.931807205640877e-05
all,the,back,1,1.931807205640877e-05
all,the,beauty,1,1.931807205640877e-05
all,the,capitals,1,1.931807205640877e-05
all,the,cars,1,1.931807205640877e-05
all,the,dances,1,1.931807205640877e-05
all,the,houses,1,1.931807205640877e-05
all,the,lights,1,1.931807205640877e-05
all,the,neighbouring,1,1.931807205640877e-05
all,the,people,1,1.931807205640877e-05
all,the,rest,1,1.931807205640877e-05
all,the,things,2,3.863614411281754e-05
all,the,time,6,0.00011590843233845262
all,the,timewere,1,1.931807205640877e-05
all,the,young,1,1.931807205640877e-05
all,their,tragic,1,1.931807205640877e-05
all,these,famous,1,1.931807205640877e-05
all,these,i,1,1.931807205640877e-05
all,these,official,1,1.931807205640877e-05
all,these,people,1,1.931807205640877e-05
all,these,stories,1,1.931807205640877e-05
all,they,came,1,1.931807205640877e-05
all,they,think,1,1.931807205640877e-05
all,think,<s>,1,1.931807205640877e-05
all,this,before,1,1.931807205640877e-05
all,this,old,1,1.931807205640877e-05
all,this,part,1,1.931807205640877e-05
all,this,very,1,1.931807205640877e-05
all,this,we,1,1.931807205640877e-05
all,through,lunch,1,1.931807205640877e-05
all,too,hospitable,1,1.931807205640877e-05
all,took,the,1,1.931807205640877e-05
all,trains,<s>,1,1.931807205640877e-05
all,true,<s>,1,1.931807205640877e-05
all,turned,<s>,1,1.931807205640877e-05
all,very,careless,1,1.931807205640877e-05
all,well,dressed,1,1.931807205640877e-05
all,were,i,1,1.931807205640877e-05
all,westerners,and,1,1.931807205640877e-05
all,wet,to,1,1.931807205640877e-05
all,wet,when,1,1.931807205640877e-05
all,white,here,1,1.931807205640877e-05
all,wiped,out,1,1.931807205640877e-05
all,your,servants,1,1.931807205640877e-05
alland,yet,theres,1,1.931807205640877e-05
allexcept,where,the,1,1.931807205640877e-05
alleys,and,to,1,1.931807205640877e-05
allied,government,gave,1,1.931807205640877e-05
alltom,and,gatsby,1,1.931807205640877e-05
almost,<s>,<s>,3,5.795421616922631e-05
almost,aggressively,<s>,1,1.931807205640877e-05
almost,any,exhibition,1,1.931807205640877e-05
almost,at,the,1,1.931807205640877e-05
almost,before,i,1,1.931807205640877e-05
almost,drowned,me,1,1.931807205640877e-05
almost,immediately,the,1,1.931807205640877e-05
almost,made,a,1,1.931807205640877e-05
almost,morning,the,1,1.931807205640877e-05
almost,pastoral,on,1,1.931807205640877e-05
almost,remembered,was,1,1.931807205640877e-05
almost,sure,that,1,1.931807205640877e-05
almost,surprised,into,1,1.931807205640877e-05
almost,the,last,3,5.795421616922631e-05
almost,touching,her,1,1.931807205640877e-05
almost,two,<s>,1,1.931807205640877e-05
alone,,affirmed,1,1.931807205640877e-05
alone,,countered,1,1.931807205640877e-05
alone,,he,1,1.931807205640877e-05
alone,<s>,<s>,16,0.0003090891529025403
alone,again,in,1,1.931807205640877e-05
alone,and,it,1,1.931807205640877e-05
alone,and,once,1,1.931807205640877e-05
alone,before,any,1,1.931807205640877e-05
alone,for,on,1,1.931807205640877e-05
alone,i,cant,1,1.931807205640877e-05
alone,in,<s>,1,1.931807205640877e-05
alone,old,sport,1,1.931807205640877e-05
alone,on,the,2,3.863614411281754e-05
alone,with,<s>,1,1.931807205640877e-05
alone,with,gatsby,1,1.931807205640877e-05
alonefifty,feet,away,1,1.931807205640877e-05
alonehe,stretched,<s>,1,1.931807205640877e-05
along,,he,1,1.931807205640877e-05
along,<s>,<s>,2,3.863614411281754e-05
along,a,cobbled,1,1.931807205640877e-05
along,a,shortcut,1,1.931807205640877e-05
along,all,too,1,1.931807205640877e-05
along,an,invisible,1,1.931807205640877e-05
along,fifth,avenue,1,1.931807205640877e-05
along,from,one,1,1.931807205640877e-05
along,intended,doing,1,1.931807205640877e-05
along,the,<s>,2,3.863614411281754e-05
along,the,beach,1,1.931807205640877e-05
along,the,border,1,1.931807205640877e-05
along,the,casual,1,1.931807205640877e-05
along,the,dark,1,1.931807205640877e-05
along,the,north,1,1.931807205640877e-05
along,the,paper,1,1.931807205640877e-05
along,the,railroad,1,1.931807205640877e-05
along,the,road,3,5.795421616922631e-05
along,the,sidewalk,1,1.931807205640877e-05
along,the,sound,2,3.863614411281754e-05
along,the,south,1,1.931807205640877e-05
along,the,stone,1,1.931807205640877e-05
along,the,water,1,1.931807205640877e-05
along,through,the,1,1.931807205640877e-05
along,toward,astoria,1,1.931807205640877e-05
along,with,me,1,1.931807205640877e-05
alongshore,,<s>,1,1.931807205640877e-05
alongshore,<s>,<s>,2,3.863614411281754e-05
alongside,<s>,<s>,2,3.863614411281754e-05
aloud,<s>,<s>,1,1.931807205640877e-05
aloud,and,then,1,1.931807205640877e-05
aloud,and,told,1,1.931807205640877e-05
aloud,as,the,1,1.931807205640877e-05
aloud,to,him,1,1.931807205640877e-05
already,<s>,<s>,2,3.863614411281754e-05
already,behind,him,1,1.931807205640877e-05
already,caught,up,1,1.931807205640877e-05
already,crumbling,through,1,1.931807205640877e-05
already,four,<s>,1,1.931807205640877e-05
already,gathered,<s>,1,1.931807205640877e-05
already,gone,to,1,1.931807205640877e-05
already,in,the,1,1.931807205640877e-05
already,it,was,1,1.931807205640877e-05
already,jay,<s>,1,1.931807205640877e-05
already,loved,<s>,1,1.931807205640877e-05
already,the,halls,1,1.931807205640877e-05
already,there,are,1,1.931807205640877e-05
already,violent,confusion,1,1.931807205640877e-05
also,from,new,1,1.931807205640877e-05
also,in,yachting,1,1.931807205640877e-05
also,made,me,1,1.931807205640877e-05
also,that,blew,1,1.931807205640877e-05
also,undergone,a,1,1.931807205640877e-05
altered,<s>,<s>,1,1.931807205640877e-05
although,until,after,1,1.931807205640877e-05
altogether,<s>,<s>,1,1.931807205640877e-05
aluminium,putter,that,1,1.931807205640877e-05
always,<s>,<s>,3,5.795421616922631e-05
always,a,butler,1,1.931807205640877e-05
always,a,few,1,1.931807205640877e-05
always,a,halt,1,1.931807205640877e-05
always,a,tapping,1,1.931807205640877e-05
always,been,glad,1,1.931807205640877e-05
always,been,obstinate,1,1.931807205640877e-05
always,been,unusually,1,1.931807205640877e-05
always,carry,<s>,1,1.931807205640877e-05
always,come,back,1,1.931807205640877e-05
always,for,me,1,1.931807205640877e-05
always,full,of,1,1.931807205640877e-05
always,gathered,in,1,1.931807205640877e-05
always,great,for,1,1.931807205640877e-05
always,had,some,1,1.931807205640877e-05
always,had,the,1,1.931807205640877e-05
always,have,a,1,1.931807205640877e-05
always,leaning,<s>,1,1.931807205640877e-05
always,liked,it,1,1.931807205640877e-05
always,look,so,1,1.931807205640877e-05
always,rooms,that,1,1.931807205640877e-05
always,starts,screaming,1,1.931807205640877e-05
always,thanking,him,1,1.931807205640877e-05
always,the,<s>,1,1.931807205640877e-05
always,the,first,1,1.931807205640877e-05
always,trouble,with,1,1.931807205640877e-05
always,vaguely,disquieting,1,1.931807205640877e-05
always,watch,for,2,3.863614411281754e-05
always,with,<s>,1,1.931807205640877e-05
always,with,four,1,1.931807205640877e-05
am,,<s>,1,1.931807205640877e-05
am,and,you,1,1.931807205640877e-05
am,awfully,glad,1,1.931807205640877e-05
am,careful,<s>,1,1.931807205640877e-05
am,completely,knocked,1,1.931807205640877e-05
am,fifty,years,1,1.931807205640877e-05
am,not,even,1,1.931807205640877e-05
am,one,of,1,1.931807205640877e-05
am,part,of,1,1.931807205640877e-05
am,slow,thinking,1,1.931807205640877e-05
am,still,a,1,1.931807205640877e-05
am,tantalizing,you,1,1.931807205640877e-05
am,the,son,1,1.931807205640877e-05
am,though,,1,1.931807205640877e-05
am,tied,up,1,1.931807205640877e-05
am,when,<s>,1,1.931807205640877e-05
amazed,himhe,had,1,1.931807205640877e-05
amazed,way,and,1,1.931807205640877e-05
amazing,,she,1,1.931807205640877e-05
amazing,thing,,1,1.931807205640877e-05
ambiguously,<s>,<s>,1,1.931807205640877e-05
ambitions,getting,deeper,1,1.931807205640877e-05
ambitious,<s>,<s>,1,1.931807205640877e-05
ambitious,young,reporter,1,1.931807205640877e-05
ambulance,had,<s>,1,1.931807205640877e-05
amen,to,that,1,1.931807205640877e-05
america,<s>,<s>,1,1.931807205640877e-05
america,but,educated,1,1.931807205640877e-05
american,<s>,<s>,1,1.931807205640877e-05
american,army,during,1,1.931807205640877e-05
american,legion,and,2,3.863614411281754e-05
american,life,brought,1,1.931807205640877e-05
americans,<s>,<s>,1,1.931807205640877e-05
americans,while,willing,1,1.931807205640877e-05
americanthat,comes,,1,1.931807205640877e-05
amid,the,welcome,1,1.931807205640877e-05
ammonia,and,<s>,1,1.931807205640877e-05
among,<s>,<s>,1,1.931807205640877e-05
among,dying,orchids,1,1.931807205640877e-05
among,hard,drinking,1,1.931807205640877e-05
among,his,<s>,1,1.931807205640877e-05
among,other,natural,1,1.931807205640877e-05
among,soggy,whitewashed,1,1.931807205640877e-05
among,strangers,because,1,1.931807205640877e-05
among,swirls,and,1,1.931807205640877e-05
among,the,<s>,1,1.931807205640877e-05
among,the,blue,1,1.931807205640877e-05
among,the,broken,1,1.931807205640877e-05
among,the,crowded,1,1.931807205640877e-05
among,the,last,1,1.931807205640877e-05
among,the,piles,1,1.931807205640877e-05
among,the,pillars,1,1.931807205640877e-05
among,the,sparkling,1,1.931807205640877e-05
among,the,spidery,1,1.931807205640877e-05
among,the,stars,1,1.931807205640877e-05
among,the,stouter,1,1.931807205640877e-05
among,the,vines,1,1.931807205640877e-05
among,various,physical,1,1.931807205640877e-05
amorphous,trees,<s>,1,1.931807205640877e-05
amount,<s>,<s>,1,1.931807205640877e-05
amount,of,dust,1,1.931807205640877e-05
amount,of,fire,1,1.931807205640877e-05
amount,of,stock,1,1.931807205640877e-05
amour,at,alland,1,1.931807205640877e-05
amputated,wheelhe,stared,1,1.931807205640877e-05
amused,his,guests,1,1.931807205640877e-05
amused,me,then,1,1.931807205640877e-05
amusement,park,<s>,1,1.931807205640877e-05
an,<s>,<s>,22,0.00042499758524099297
an,abandoned,grass,1,1.931807205640877e-05
an,abortive,attempt,1,1.931807205640877e-05
an,abrupt,dusty,1,1.931807205640877e-05
an,absolute,rose,1,1.931807205640877e-05
an,absolute,smirk,1,1.931807205640877e-05
an,absolutely,perfect,1,1.931807205640877e-05
an,absurd,,1,1.931807205640877e-05
an,absurd,resemblance,1,1.931807205640877e-05
an,accident,george,1,1.931807205640877e-05
an,actor,<s>,1,1.931807205640877e-05
an,acute,<s>,1,1.931807205640877e-05
an,adams,study,1,1.931807205640877e-05
