term_str,term_id,n,num,stop,stem_porter,stem_snowball,stem_lancaster,pos_max,dpidp,dfidf
decisively,1359,4,0,0,decis,decis,decid,RB,0.5283208335737186,4.754887502163468
deck,1360,1,0,0,deck,deck,deck,NN,0.3522138890491458,3.169925001442312
decking,1361,1,0,0,deck,deck,deck,VBG,0.3522138890491458,3.169925001442312
declaration,1362,1,0,0,declar,declar,decl,NN,0.3522138890491458,3.169925001442312
declared,1363,1,0,0,declar,declar,decl,VBD,0.3522138890491458,3.169925001442312
decline,1364,1,0,0,declin,declin,declin,NN,0.3522138890491458,3.169925001442312
decomposed,1365,1,0,0,decompos,decompos,decompos,VBD,0.3522138890491458,3.169925001442312
decorationeven,1366,1,0,0,decorationeven,decorationeven,decorationev,JJ,0.3522138890491458,3.169925001442312
deep,1367,13,0,0,deep,deep,deep,JJ,0.3899750004807708,3.5097750043269373
deeper,1368,2,0,0,deeper,deeper,deep,JJR,0.48220555587606934,4.339850002884624
deeplyi,1369,1,0,0,deeplyi,deeplyi,deeply,NN,0.3522138890491458,3.169925001442312
defence,1370,1,0,0,defenc,defenc,def,NN,0.3522138890491458,3.169925001442312
defending,1371,1,0,0,defend,defend,defend,VBG,0.3522138890491458,3.169925001442312
deferred,1372,2,0,0,defer,defer,defer,VBD,0.48220555587606934,4.339850002884624
defiance,1373,1,0,0,defianc,defianc,defy,NN,0.3522138890491458,3.169925001442312
defiant,1374,2,0,0,defiant,defiant,defy,JJ,0.3522138890491458,3.169925001442312
defiantly,1375,1,0,0,defiantli,defiant,defy,RB,0.3522138890491458,3.169925001442312
defiantlytaken,1376,1,0,0,defiantlytaken,defiantlytaken,defiantlytak,RBR,0.3522138890491458,3.169925001442312
deficiency,1377,1,0,0,defici,defici,deficy,NN,0.3522138890491458,3.169925001442312
definitely,1378,5,0,0,definit,definit,definit,RB,0.5199666673076944,4.6797000057692495
deft,1379,2,0,0,deft,deft,deft,JJ,0.48220555587606934,4.339850002884624
defunct,1380,1,0,0,defunct,defunct,defunct,JJ,0.3522138890491458,3.169925001442312
degree,1381,2,0,0,degre,degre,degr,NN,0.48220555587606934,4.339850002884624
dejection,1382,1,0,0,deject,deject,deject,NN,0.3522138890491458,3.169925001442312
delayed,1383,2,0,0,delay,delay,delay,VBD,0.48220555587606934,4.339850002884624
delays,1384,1,0,0,delay,delay,delay,NNS,0.3522138890491458,3.169925001442312
deliberately,1385,3,0,0,deliber,deliber,delib,RB,0.48220555587606934,4.339850002884624
delicacy,1386,1,0,0,delicaci,delicaci,del,NN,0.3522138890491458,3.169925001442312
delicate,1387,1,0,0,delic,delic,del,JJ,0.3522138890491458,3.169925001442312
delicately,1388,2,0,0,delic,delic,del,RB,0.48220555587606934,4.339850002884624
delicatessen,1389,1,0,0,delicatessen,delicatessen,delicatess,NN,0.3522138890491458,3.169925001442312
delight,1390,2,0,0,delight,delight,delight,NN,0.48220555587606934,4.339850002884624
delighted,1391,3,0,0,delight,delight,delight,VBN,0.3522138890491458,3.169925001442312
delivered,1392,1,0,0,deliv,deliv,del,VBD,0.3522138890491458,3.169925001442312
demaine,1393,1,0,0,demain,demain,demain,NNP,0.3522138890491458,3.169925001442312
demand,1394,3,0,0,demand,demand,demand,NN,0.5283208335737186,4.754887502163468
demanded,1395,24,0,0,demand,demand,demand,VBD,0.1510444457264999,1.359400011538499
demands,1396,1,0,0,demand,demand,demand,NNS,0.3522138890491458,3.169925001442312
demoniac,1397,1,0,0,demoniac,demoniac,demoniac,NN,0.3522138890491458,3.169925001442312
denied,1398,2,0,0,deni,deni,deny,VBD,0.48220555587606934,4.339850002884624
denizen,1399,1,0,0,denizen,denizen,den,NN,0.3522138890491458,3.169925001442312
dennickers,1400,1,0,0,dennick,dennick,dennick,NNPS,0.3522138890491458,3.169925001442312
dentist,1401,1,0,0,dentist,dentist,dent,NN,0.3522138890491458,3.169925001442312
denying,1402,1,0,0,deni,deni,deny,VBG,0.3522138890491458,3.169925001442312
department,1403,1,0,0,depart,depart,depart,NN,0.3522138890491458,3.169925001442312
deplorably,1404,1,0,0,deplor,deplor,depl,JJ,0.3522138890491458,3.169925001442312
depressed,1405,1,0,0,depress,depress,depress,VBN,0.3522138890491458,3.169925001442312
depression,1406,1,0,0,depress,depress,depress,NN,0.3522138890491458,3.169925001442312
depths,1407,1,0,0,depth,depth,depth,NNS,0.3522138890491458,3.169925001442312
deranged,1408,2,0,0,derang,derang,derang,VBD,0.48220555587606934,4.339850002884624
descended,1409,2,0,0,descend,descend,descend,VBD,0.48220555587606934,4.339850002884624
describe,1410,1,0,0,describ,describ,describ,NN,0.3522138890491458,3.169925001442312
described,1411,3,0,0,describ,describ,describ,VBD,0.48220555587606934,4.339850002884624
deserted,1412,1,0,0,desert,desert,desert,VBN,0.3522138890491458,3.169925001442312
deserting,1413,1,0,0,desert,desert,desert,VBG,0.3522138890491458,3.169925001442312
deserved,1414,1,0,0,deserv,deserv,deserv,VBD,0.3522138890491458,3.169925001442312
deserves,1415,1,0,0,deserv,deserv,deserv,NNS,0.3522138890491458,3.169925001442312
designs,1416,2,0,0,design,design,design,NNS,0.48220555587606934,4.339850002884624
desirable,1417,1,0,0,desir,desir,desir,JJ,0.3522138890491458,3.169925001442312
desire,1418,2,0,0,desir,desir,desir,NN,0.48220555587606934,4.339850002884624
desired,1419,2,0,0,desir,desir,desir,VBD,0.48220555587606934,4.339850002884624
desires,1420,1,0,0,desir,desir,desir,NNS,0.3522138890491458,3.169925001442312
desk,1421,3,0,0,desk,desk,desk,NN,0.5283208335737186,4.754887502163468
deskhe,1422,1,0,0,deskh,deskh,deskh,NN,0.3522138890491458,3.169925001442312
desolate,1423,4,0,0,desol,desol,desol,JJ,0.5199666673076944,4.6797000057692495
despair,1424,2,0,0,despair,despair,despair,NN,0.48220555587606934,4.339850002884624
despairing,1425,1,0,0,despair,despair,despair,JJ,0.3522138890491458,3.169925001442312
despairingly,1426,1,0,0,despairingli,despair,despair,RB,0.3522138890491458,3.169925001442312
desperate,1427,1,0,0,desper,desper,desp,NN,0.3522138890491458,3.169925001442312
desperately,1428,2,0,0,desper,desper,desp,RB,0.48220555587606934,4.339850002884624
despicable,1429,1,0,0,despic,despic,desp,JJ,0.3522138890491458,3.169925001442312
despise,1430,1,0,0,despis,despis,desp,NN,0.3522138890491458,3.169925001442312
despised,1431,1,0,0,despis,despis,desp,VBN,0.3522138890491458,3.169925001442312
despising,1432,1,0,0,despis,despis,desp,VBG,0.3522138890491458,3.169925001442312
destiny,1433,3,0,0,destini,destini,destiny,NN,0.3522138890491458,3.169925001442312
detachment,1434,1,0,0,detach,detach,detach,NN,0.3522138890491458,3.169925001442312
detail,1435,2,0,0,detail,detail,detail,NN,0.48220555587606934,4.339850002884624
detect,1436,1,0,0,detect,detect,detect,NN,0.3522138890491458,3.169925001442312
detective,1437,1,0,0,detect,detect,detect,NN,0.3522138890491458,3.169925001442312
determination,1438,1,0,0,determin,determin,determin,NN,0.3522138890491458,3.169925001442312
determine,1439,1,0,0,determin,determin,determin,VB,0.3522138890491458,3.169925001442312
determined,1440,4,0,0,determin,determin,determin,JJ,0.5283208335737186,4.754887502163468
determinedly,1441,1,0,0,determinedli,determin,determin,RB,0.3522138890491458,3.169925001442312
detroit,1442,2,0,0,detroit,detroit,detroit,NNP,0.48220555587606934,4.339850002884624
developing,1443,1,0,0,develop,develop,develop,JJ,0.3522138890491458,3.169925001442312
device,1444,1,0,0,devic,devic,dev,NN,0.3522138890491458,3.169925001442312
devil,1445,3,0,0,devil,devil,devil,NN,0.5283208335737186,4.754887502163468
devoid,1446,1,0,0,devoid,devoid,devoid,NN,0.3522138890491458,3.169925001442312
devotion,1447,1,0,0,devot,devot,devot,NN,0.3522138890491458,3.169925001442312
dew,1448,2,0,0,dew,dew,dew,NN,0.48220555587606934,4.339850002884624
dewars,1449,1,0,0,dewar,dewar,dew,NNP,0.3522138890491458,3.169925001442312
di,1450,1,0,0,di,di,di,NN,0.3522138890491458,3.169925001442312
diamond,1451,1,0,0,diamond,diamond,diamond,NN,0.3522138890491458,3.169925001442312
did,1452,52,0,1,did,did,did,VBD,0.0,0.0
didn,1453,84,0,1,didn,didn,didn,VBP,0.0,0.0
die,1454,1,0,0,die,die,die,VB,0.3522138890491458,3.169925001442312
died,1455,8,0,0,die,die,died,VBD,0.3899750004807708,3.5097750043269373
difference,1456,5,0,0,differ,differ,diff,NN,0.5199666673076944,4.6797000057692495
different,1457,3,0,0,differ,differ,diff,JJ,0.5283208335737186,4.754887502163468
differentif,1458,1,0,0,differentif,differentif,diff,VBG,0.3522138890491458,3.169925001442312
difficult,1459,1,0,0,difficult,difficult,difficult,JJ,0.3522138890491458,3.169925001442312
difficulty,1460,3,0,0,difficulti,difficulti,difficul,NN,0.48220555587606934,4.339850002884624
dignified,1461,4,0,0,dignifi,dignifi,dign,JJ,0.5283208335737186,4.754887502163468
dignity,1462,1,0,0,digniti,digniti,dign,NN,0.3522138890491458,3.169925001442312
dilatory,1463,2,0,0,dilatori,dilatori,dil,NN,0.48220555587606934,4.339850002884624
dim,1464,8,0,0,dim,dim,dim,NN,0.4711093925305277,4.23998453277475
diminished,1465,2,0,0,diminish,diminish,dimin,VBN,0.48220555587606934,4.339850002884624
dimly,1466,2,0,0,dimli,dim,dim,NNP,0.48220555587606934,4.339850002884624
dimmed,1467,1,0,0,dim,dim,dim,VBD,0.3522138890491458,3.169925001442312
din,1468,2,0,0,din,din,din,NN,0.3522138890491458,3.169925001442312
dined,1469,1,0,0,dine,dine,din,VBN,0.3522138890491458,3.169925001442312
diningroom,1470,2,0,0,diningroom,diningroom,diningroom,NN,0.48220555587606934,4.339850002884624
dinner,1471,11,0,0,dinner,dinner,din,NN,0.4711093925305277,4.23998453277475
dinneri,1472,1,0,0,dinneri,dinneri,dinner,NN,0.3522138890491458,3.169925001442312
dinneryoung,1473,1,0,0,dinneryoung,dinneryoung,dinneryoung,NN,0.3522138890491458,3.169925001442312
dipped,1474,1,0,0,dip,dip,dip,VBD,0.3522138890491458,3.169925001442312
direction,1475,4,0,0,direct,direct,direct,NN,0.5283208335737186,4.754887502163468
directly,1476,2,0,0,directli,direct,direct,RB,0.48220555587606934,4.339850002884624
director,1477,2,0,0,director,director,direct,NN,0.3522138890491458,3.169925001442312
dirty,1478,2,0,0,dirti,dirti,dirty,NN,0.48220555587606934,4.339850002884624
disadvantage,1479,1,0,0,disadvantag,disadvantag,disadv,NN,0.3522138890491458,3.169925001442312
disappeared,1480,7,0,0,disappear,disappear,disappear,VBD,0.5199666673076944,4.6797000057692495
disappearing,1481,1,0,0,disappear,disappear,disappear,VBG,0.3522138890491458,3.169925001442312
disappointed,1482,2,0,0,disappoint,disappoint,disappoint,JJ,0.48220555587606934,4.339850002884624
disappointment,1483,2,0,0,disappoint,disappoint,disappoint,NN,0.48220555587606934,4.339850002884624
disapproval,1484,1,0,0,disapprov,disapprov,disapprov,NN,0.3522138890491458,3.169925001442312
disapprove,1485,1,0,0,disapprov,disapprov,disapprov,VB,0.3522138890491458,3.169925001442312
disapproved,1486,1,0,0,disapprov,disapprov,disapprov,VBD,0.3522138890491458,3.169925001442312
disapproving,1487,1,0,0,disapprov,disapprov,disapprov,JJ,0.3522138890491458,3.169925001442312
disarray,1488,1,0,0,disarray,disarray,disarray,NN,0.3522138890491458,3.169925001442312
discarded,1489,1,0,0,discard,discard,discard,VBD,0.3522138890491458,3.169925001442312
disconcerting,1490,1,0,0,disconcert,disconcert,disconcert,VBG,0.3522138890491458,3.169925001442312
discontented,1491,1,0,0,discont,discont,discont,JJ,0.3522138890491458,3.169925001442312
discordant,1492,1,0,0,discord,discord,discord,JJ,0.3522138890491458,3.169925001442312
discovered,1493,5,0,0,discov,discov,discov,VBN,0.5199666673076944,4.6797000057692495
discovery,1494,1,0,0,discoveri,discoveri,discovery,NN,0.3522138890491458,3.169925001442312
discreet,1495,1,0,0,discreet,discreet,discreet,NN,0.3522138890491458,3.169925001442312
discreetly,1496,2,0,0,discreetli,discreet,discreet,RB,0.3522138890491458,3.169925001442312
discuss,1497,2,0,0,discuss,discuss,discuss,NN,0.3522138890491458,3.169925001442312
discussing,1498,1,0,0,discuss,discuss,discuss,NN,0.3522138890491458,3.169925001442312
disdain,1499,1,0,0,disdain,disdain,disdain,NN,0.3522138890491458,3.169925001442312
disembodied,1500,1,0,0,disembodi,disembodi,disembody,JJ,0.3522138890491458,3.169925001442312
disgusted,1501,1,0,0,disgust,disgust,disgust,JJ,0.3522138890491458,3.169925001442312
dishevelled,1502,1,0,0,dishevel,dishevel,dishevel,VBN,0.3522138890491458,3.169925001442312
dishonest,1503,1,0,0,dishonest,dishonest,dishonest,JJS,0.3522138890491458,3.169925001442312
dishonesty,1504,1,0,0,dishonesti,dishonesti,dishonesty,NNP,0.3522138890491458,3.169925001442312
disintegrating,1505,1,0,0,disintegr,disintegr,disintegr,VBG,0.3522138890491458,3.169925001442312
dislike,1506,1,0,0,dislik,dislik,dislik,NN,0.3522138890491458,3.169925001442312
disliked,1507,1,0,0,dislik,dislik,dislik,VBD,0.3522138890491458,3.169925001442312
dismal,1508,1,0,0,dismal,dismal,dism,JJ,0.3522138890491458,3.169925001442312
dismally,1509,1,0,0,dismal,dismal,dism,RB,0.3522138890491458,3.169925001442312
dismayed,1510,2,0,0,dismay,dismay,dismay,JJ,0.48220555587606934,4.339850002884624
dismissed,1511,2,0,0,dismiss,dismiss,dismiss,VBD,0.48220555587606934,4.339850002884624
dismounted,1512,1,0,0,dismount,dismount,dismount,VBN,0.3522138890491458,3.169925001442312
disordered,1513,1,0,0,disord,disord,disord,VBN,0.3522138890491458,3.169925001442312
dispensed,1514,1,0,0,dispens,dispens,dispens,VBD,0.3522138890491458,3.169925001442312
disposed,1515,1,0,0,dispos,dispos,dispos,VBD,0.3522138890491458,3.169925001442312
dispute,1516,1,0,0,disput,disput,disput,NN,0.3522138890491458,3.169925001442312
disquieting,1517,2,0,0,disquiet,disquiet,disquiet,VBG,0.3522138890491458,3.169925001442312
dissension,1518,1,0,0,dissens,dissens,dissend,NN,0.3522138890491458,3.169925001442312
dissimilarity,1519,1,0,0,dissimilar,dissimilar,dissimil,NN,0.3522138890491458,3.169925001442312
dissolve,1520,1,0,0,dissolv,dissolv,dissolv,NN,0.3522138890491458,3.169925001442312
dissolving,1521,1,0,0,dissolv,dissolv,dissolv,VBG,0.3522138890491458,3.169925001442312
distance,1522,6,0,0,distanc,distanc,dist,NN,0.3899750004807708,3.5097750043269373
distaste,1523,1,0,0,distast,distast,distast,NN,0.3522138890491458,3.169925001442312
distasteful,1524,1,0,0,distast,distast,distast,JJ,0.3522138890491458,3.169925001442312
distinguished,1525,2,0,0,distinguish,distinguish,distinct,VBD,0.3522138890491458,3.169925001442312
distorted,1526,2,0,0,distort,distort,distort,VBD,0.48220555587606934,4.339850002884624
distortion,1527,1,0,0,distort,distort,distort,NN,0.3522138890491458,3.169925001442312
distract,1528,1,0,0,distract,distract,distract,VB,0.3522138890491458,3.169925001442312
distraught,1529,1,0,0,distraught,distraught,distraught,NN,0.3522138890491458,3.169925001442312
district,1530,1,0,0,district,district,district,NN,0.3522138890491458,3.169925001442312
disturb,1531,1,0,0,disturb,disturb,disturb,VB,0.3522138890491458,3.169925001442312
disturbed,1532,1,0,0,disturb,disturb,disturb,VBN,0.3522138890491458,3.169925001442312
ditch,1533,2,0,0,ditch,ditch,ditch,NN,0.3522138890491458,3.169925001442312
divan,1534,1,0,0,divan,divan,div,NN,0.3522138890491458,3.169925001442312
divergence,1535,1,0,0,diverg,diverg,diverg,NN,0.3522138890491458,3.169925001442312
divine,1536,1,0,0,divin,divin,divin,NN,0.3522138890491458,3.169925001442312
diving,1537,1,0,0,dive,dive,div,VBG,0.3522138890491458,3.169925001442312
division,1538,1,0,0,divis,divis,divid,NN,0.3522138890491458,3.169925001442312
divisional,1539,1,0,0,division,division,divid,JJ,0.3522138890491458,3.169925001442312
divisions,1540,1,0,0,divis,divis,divid,NNS,0.3522138890491458,3.169925001442312
divorce,1541,2,0,0,divorc,divorc,divorc,NN,0.3522138890491458,3.169925001442312
divorced,1542,1,0,0,divorc,divorc,divorc,VBD,0.3522138890491458,3.169925001442312
divot,1543,1,0,0,divot,divot,divot,NN,0.3522138890491458,3.169925001442312
dizzy,1544,1,0,0,dizzi,dizzi,dizzy,NN,0.3522138890491458,3.169925001442312
do,1545,83,0,1,do,do,do,VBP,0.0,0.0
doc,1546,2,0,0,doc,doc,doc,NNP,0.3522138890491458,3.169925001442312
dock,1547,4,0,0,dock,dock,dock,NN,0.5283208335737186,4.754887502163468
doctor,1548,10,0,0,doctor,doctor,doct,NNP,0.4711093925305277,4.23998453277475
dodge,1549,1,0,0,dodg,dodg,dodg,NNP,0.3522138890491458,3.169925001442312
does,1550,10,0,1,doe,doe,doe,VBZ,0.28199895063255076,2.5379905556929585
doesn,1551,18,0,1,doesn,doesn,doesn,VBZ,0.28199895063255076,2.5379905556929585
dog,1552,16,0,0,dog,dog,dog,NN,0.48220555587606934,4.339850002884624
dogat,1553,1,0,0,dogat,dogat,dog,NN,0.3522138890491458,3.169925001442312
dogdays,1554,1,0,0,dogday,dogday,dogday,JJ,0.3522138890491458,3.169925001442312
dogleash,1555,2,0,0,dogleash,dogleash,dogleash,NN,0.3522138890491458,3.169925001442312
dogs,1556,3,0,0,dog,dog,dog,NNS,0.3522138890491458,3.169925001442312
doing,1557,11,0,1,do,do,doing,VBG,0.4711093925305277,4.23998453277475
doingand,1558,1,0,0,doingand,doingand,doingand,NN,0.3522138890491458,3.169925001442312
doings,1559,1,0,0,do,do,doing,NNS,0.3522138890491458,3.169925001442312
doll,1560,1,0,0,doll,doll,dol,NN,0.3522138890491458,3.169925001442312
dollar,1561,1,0,0,dollar,dollar,doll,NNP,0.3522138890491458,3.169925001442312
dollars,1562,7,0,0,dollar,dollar,doll,NNS,0.3899750004807708,3.5097750043269373
domesticated,1563,1,0,0,domest,domest,domest,VBN,0.3522138890491458,3.169925001442312
dominance,1564,1,0,0,domin,domin,domin,NN,0.3522138890491458,3.169925001442312
dominant,1565,1,0,0,domin,domin,domin,JJ,0.3522138890491458,3.169925001442312
don,1566,98,0,1,don,don,don,VBP,0.0,0.0
donavan,1567,1,0,0,donavan,donavan,donav,NNP,0.3522138890491458,3.169925001442312
doncaster,1568,1,0,0,doncast,doncast,doncast,NNP,0.3522138890491458,3.169925001442312
done,1569,8,0,0,done,done,don,VBN,0.5199666673076944,4.6797000057692495
door,1570,68,0,0,door,door,door,NN,0.0,0.0
doorposts,1571,1,0,0,doorpost,doorpost,doorpost,NNS,0.3522138890491458,3.169925001442312
doors,1572,3,0,0,door,door,door,NNS,0.5283208335737186,4.754887502163468
doorway,1573,3,0,0,doorway,doorway,doorway,NN,0.48220555587606934,4.339850002884624
dotted,1574,1,0,0,dot,dot,dot,VBD,0.3522138890491458,3.169925001442312
double,1575,1,0,0,doubl,doubl,doubl,JJ,0.3522138890491458,3.169925001442312
doubt,1576,5,0,0,doubt,doubt,doubt,NN,0.5199666673076944,4.6797000057692495
doubted,1577,1,0,0,doubt,doubt,doubt,VBD,0.3522138890491458,3.169925001442312
doubtfully,1578,3,0,0,doubt,doubt,doubt,RB,0.48220555587606934,4.339850002884624
doubtless,1579,1,0,0,doubtless,doubtless,doubtless,NNP,0.3522138890491458,3.169925001442312
down,1580,118,0,1,down,down,down,RP,0.0,0.0
downstairs,1581,6,0,0,downstair,downstair,downstair,NNS,0.4711093925305277,4.23998453277475
doze,1582,1,0,0,doze,doze,doz,NN,0.3522138890491458,3.169925001442312
dozen,1583,18,0,0,dozen,dozen,doz,NN,0.28199895063255076,2.5379905556929585
dragging,1584,1,0,0,drag,drag,drag,VBG,0.3522138890491458,3.169925001442312
drain,1585,2,0,0,drain,drain,drain,NN,0.3522138890491458,3.169925001442312
dramatic,1586,1,0,0,dramat,dramat,dram,JJ,0.3522138890491458,3.169925001442312
drank,1587,5,0,0,drank,drank,drank,VB,0.5199666673076944,4.6797000057692495
draw,1588,2,0,0,draw,draw,draw,VB,0.48220555587606934,4.339850002884624
drawbridge,1589,1,0,0,drawbridg,drawbridg,drawbridg,NN,0.3522138890491458,3.169925001442312
drawer,1590,3,0,0,drawer,drawer,draw,NN,0.3522138890491458,3.169925001442312
drawerthat,1591,1,0,0,drawerthat,drawerthat,drawerth,VBZ,0.3522138890491458,3.169925001442312
drawing,1592,3,0,0,draw,draw,draw,VBG,0.5283208335737186,4.754887502163468
drawingroom,1593,4,0,0,drawingroom,drawingroom,drawingroom,NN,0.5283208335737186,4.754887502163468
drawn,1594,6,0,0,drawn,drawn,drawn,VBN,0.3899750004807708,3.5097750043269373
draws,1595,1,0,0,draw,draw,draw,VBZ,0.3522138890491458,3.169925001442312
dread,1596,1,0,0,dread,dread,dread,NN,0.3522138890491458,3.169925001442312
dream,1597,6,0,0,dream,dream,dream,NN,0.5283208335737186,4.754887502163468
dreamed,1598,1,0,0,dream,dream,dream,VBD,0.3522138890491458,3.169925001442312
dreams,1599,7,0,0,dream,dream,dream,NNS,0.4711093925305277,4.23998453277475
dreamsnot,1600,1,0,0,dreamsnot,dreamsnot,dreamsnot,NN,0.3522138890491458,3.169925001442312
dress,1601,15,0,0,dress,dress,dress,NN,0.28199895063255076,2.5379905556929585
dressand,1602,1,0,0,dressand,dressand,dressand,NN,0.3522138890491458,3.169925001442312
dressed,1603,5,0,0,dress,dress,dress,VBN,0.5199666673076944,4.6797000057692495
dresser,1604,1,0,0,dresser,dresser,dress,NN,0.3522138890491458,3.169925001442312
dresses,1605,6,0,0,dress,dress,dress,NNS,0.5199666673076944,4.6797000057692495
dressi,1606,1,0,0,dressi,dressi,dress,VB,0.3522138890491458,3.169925001442312
dressing,1607,1,0,0,dress,dress,dress,VBG,0.3522138890491458,3.169925001442312
dressinggowns,1608,1,0,0,dressinggown,dressinggown,dressinggown,NNS,0.3522138890491458,3.169925001442312
dressingroom,1609,1,0,0,dressingroom,dressingroom,dressingroom,JJ,0.3522138890491458,3.169925001442312
dressingrooms,1610,1,0,0,dressingroom,dressingroom,dressingroom,NNS,0.3522138890491458,3.169925001442312
drew,1611,9,0,0,drew,drew,drew,VBD,0.4711093925305277,4.23998453277475
dried,1612,1,0,0,dri,dri,dri,JJ,0.3522138890491458,3.169925001442312
drift,1613,3,0,0,drift,drift,drift,NN,0.5283208335737186,4.754887502163468
drifted,1614,5,0,0,drift,drift,drift,VBD,0.5199666673076944,4.6797000057692495
drifting,1615,3,0,0,drift,drift,drift,VBG,0.5283208335737186,4.754887502163468
drill,1616,1,0,0,drill,drill,dril,NN,0.3522138890491458,3.169925001442312
drink,1617,12,0,0,drink,drink,drink,NN,0.4711093925305277,4.23998453277475
drinking,1618,2,0,0,drink,drink,drink,NN,0.48220555587606934,4.339850002884624
drip,1619,1,0,0,drip,drip,drip,NN,0.3522138890491458,3.169925001442312
dripping,1620,1,0,0,drip,drip,drip,VBG,0.3522138890491458,3.169925001442312
drive,1621,20,0,0,drive,drive,driv,NN,0.1510444457264999,1.359400011538499
driveand,1622,1,0,0,driveand,driveand,driveand,VB,0.3522138890491458,3.169925001442312
driven,1623,2,0,0,driven,driven,driv,VBN,0.48220555587606934,4.339850002884624
driver,1624,7,0,0,driver,driver,driv,NN,0.5283208335737186,4.754887502163468
drivers,1625,1,0,0,driver,driver,driv,NNS,0.3522138890491458,3.169925001442312
driving,1626,9,0,0,drive,drive,driv,VBG,0.5199666673076944,4.6797000057692495
drivingnext,1627,1,0,0,drivingnext,drivingnext,drivingnext,NN,0.3522138890491458,3.169925001442312
drizzle,1628,2,0,0,drizzl,drizzl,drizzl,NN,0.3522138890491458,3.169925001442312
drop,1629,4,0,0,drop,drop,drop,NN,0.5199666673076944,4.6797000057692495
dropped,1630,7,0,0,drop,drop,drop,VBD,0.4711093925305277,4.23998453277475
dropping,1631,1,0,0,drop,drop,drop,VBG,0.3522138890491458,3.169925001442312
drops,1632,2,0,0,drop,drop,drop,NNS,0.3522138890491458,3.169925001442312
drove,1633,15,0,0,drove,drove,drov,VBD,0.28199895063255076,2.5379905556929585
drowned,1634,2,0,0,drown,drown,drown,VBD,0.48220555587606934,4.339850002884624
drowsiness,1635,1,0,0,drowsi,drowsi,drowsy,NN,0.3522138890491458,3.169925001442312
drowsing,1636,1,0,0,drows,drows,drows,VBG,0.3522138890491458,3.169925001442312
drug,1637,1,0,0,drug,drug,drug,NN,0.3522138890491458,3.169925001442312
drugstore,1638,5,0,0,drugstor,drugstor,drugst,NN,0.48220555587606934,4.339850002884624
drugstores,1639,4,0,0,drugstor,drugstor,drugst,NNS,0.48220555587606934,4.339850002884624
drum,1640,1,0,0,drum,drum,drum,NN,0.3522138890491458,3.169925001442312
drums,1641,2,0,0,drum,drum,drum,NNS,0.48220555587606934,4.339850002884624
drunk,1642,9,0,0,drunk,drunk,drunk,NN,0.5199666673076944,4.6797000057692495
drunken,1643,1,0,0,drunken,drunken,drunk,JJ,0.3522138890491458,3.169925001442312
dry,1644,3,0,0,dri,dri,dry,JJ,0.48220555587606934,4.339850002884624
duck,1645,2,0,0,duck,duck,duck,NN,0.48220555587606934,4.339850002884624
duckweed,1646,1,0,0,duckwe,duckwe,duckwee,NNP,0.3522138890491458,3.169925001442312
due,1647,2,0,0,due,due,due,JJ,0.48220555587606934,4.339850002884624
duke,1648,1,0,0,duke,duke,duk,NNP,0.3522138890491458,3.169925001442312
dukes,1649,1,0,0,duke,duke,duk,NNP,0.3522138890491458,3.169925001442312
dull,1650,3,0,0,dull,dull,dul,JJ,0.5283208335737186,4.754887502163468
duluth,1651,1,0,0,duluth,duluth,dulu,NNP,0.3522138890491458,3.169925001442312
dumb,1652,3,0,0,dumb,dumb,dumb,JJ,0.5283208335737186,4.754887502163468
dumbell,1653,1,0,0,dumbel,dumbel,dumbel,NNP,0.3522138890491458,3.169925001442312
dumping,1654,1,0,0,dump,dump,dump,NN,0.3522138890491458,3.169925001442312
dumps,1655,1,0,0,dump,dump,dump,VB,0.3522138890491458,3.169925001442312
durable,1656,1,0,0,durabl,durabl,dur,JJ,0.3522138890491458,3.169925001442312
during,1657,8,0,1,dure,dure,dur,IN,0.5283208335737186,4.754887502163468
dusk,1658,4,0,0,dusk,dusk,dusk,NN,0.5283208335737186,4.754887502163468
dust,1659,9,0,0,dust,dust,dust,NN,0.4711093925305277,4.23998453277475
dustcovered,1660,1,0,0,dustcov,dustcov,dustcov,JJ,0.3522138890491458,3.169925001442312
duster,1661,2,0,0,duster,duster,dust,NN,0.3522138890491458,3.169925001442312
dusty,1662,1,0,0,dusti,dusti,dusty,NN,0.3522138890491458,3.169925001442312
dutch,1663,1,0,0,dutch,dutch,dutch,JJ,0.3522138890491458,3.169925001442312
dwellings,1664,1,0,0,dwell,dwell,dwel,NNS,0.3522138890491458,3.169925001442312
dyed,1665,1,0,0,dy,dy,dyed,FW,0.3522138890491458,3.169925001442312
dying,1666,1,0,0,die,die,dying,VBG,0.3522138890491458,3.169925001442312
début,1667,1,0,0,début,début,début,NN,0.3522138890491458,3.169925001442312
each,1668,33,0,1,each,each,each,DT,0.1510444457264999,1.359400011538499
eager,1669,2,0,0,eager,eager,eag,NN,0.48220555587606934,4.339850002884624
eagerly,1670,9,0,0,eagerli,eager,eag,RB,0.4711093925305277,4.23998453277475
eagerness,1671,2,0,0,eager,eager,eag,NN,0.48220555587606934,4.339850002884624
ear,1672,9,0,0,ear,ear,ear,NN,0.4711093925305277,4.23998453277475
earl,1673,2,0,0,earl,earl,earl,NNP,0.3522138890491458,3.169925001442312
early,1674,6,0,0,earli,earli,ear,RB,0.5199666673076944,4.6797000057692495
earn,1675,1,0,0,earn,earn,earn,VB,0.3522138890491458,3.169925001442312
